I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
nan,nan,nan,nan,nan,nan,-2.055257568359375000e+02,1.234804153442382812e+01,-8.580938339233398438e+00,nan,-3.861337585449218750e+02,1.509970703125000000e+02
nan,nan,nan,nan,nan,nan,-2.056933898925781250e+02,3.141995811462402344e+01,2.973346900939941406e+01,nan,-3.960412597656250000e+02,1.561409149169921875e+02
nan,nan,nan,nan,nan,nan,-2.058610076904296875e+02,5.049187469482421875e+01,6.804787445068359375e+01,nan,-4.059487609863281250e+02,1.612847442626953125e+02
nan,nan,nan,nan,nan,nan,-2.060403747558593750e+02,7.227188110351562500e+01,1.101498336791992188e+02,nan,-4.183917236328125000e+02,1.666985168457031250e+02
nan,nan,nan,nan,nan,nan,-2.062301635742187500e+02,9.645315551757812500e+01,1.556101989746093750e+02,nan,-4.330828552246093750e+02,1.723516540527343750e+02
nan,nan,nan,nan,nan,nan,-2.064199371337890625e+02,1.206344299316406250e+02,2.010705718994140625e+02,nan,-4.477739868164062500e+02,1.780047912597656250e+02
nan,nan,nan,nan,nan,nan,-2.065881042480468750e+02,1.436034545898437500e+02,2.395225677490234375e+02,nan,-4.670294494628906250e+02,1.838658294677734375e+02
nan,nan,nan,nan,nan,nan,-2.066968994140625000e+02,1.632439422607421875e+02,2.587314758300781250e+02,nan,-4.988172912597656250e+02,1.902977294921875000e+02
nan,nan,nan,nan,nan,nan,-2.068056945800781250e+02,1.828844451904296875e+02,2.779403991699218750e+02,nan,-5.306051635742187500e+02,1.967296447753906250e+02
nan,nan,nan,nan,nan,nan,-2.069138793945312500e+02,2.024669189453125000e+02,2.971648864746093750e+02,nan,-5.623609619140625000e+02,2.031539916992187500e+02
nan,nan,nan,nan,nan,nan,-2.068686676025390625e+02,2.072936401367187500e+02,3.203547668457031250e+02,nan,-5.859766845703125000e+02,2.076572570800781250e+02
nan,nan,nan,nan,nan,nan,-2.068234558105468750e+02,2.121203765869140625e+02,3.435446777343750000e+02,nan,-6.095924072265625000e+02,2.121605377197265625e+02
nan,nan,nan,nan,nan,nan,-2.067782440185546875e+02,2.169470977783203125e+02,3.667345581054687500e+02,nan,-6.332081298828125000e+02,2.166638031005859375e+02
nan,nan,nan,nan,nan,nan,-2.066299591064453125e+02,2.177224273681640625e+02,3.827969055175781250e+02,nan,-6.628455810546875000e+02,2.118059387207031250e+02
nan,nan,nan,nan,nan,nan,-2.064456329345703125e+02,2.170806579589843750e+02,3.963661499023437500e+02,nan,-6.945892333984375000e+02,2.036737365722656250e+02
nan,nan,nan,nan,nan,nan,-2.062612915039062500e+02,2.164388885498046875e+02,4.099353942871093750e+02,nan,-7.263328857421875000e+02,1.955415344238281250e+02
nan,nan,nan,nan,nan,nan,-2.062345428466796875e+02,2.159147491455078125e+02,4.155137329101562500e+02,nan,-7.464859008789062500e+02,1.774303283691406250e+02
nan,nan,nan,nan,nan,nan,-2.063800201416015625e+02,2.155191650390625000e+02,4.123588562011718750e+02,nan,-7.539714965820312500e+02,1.484131011962890625e+02
nan,nan,nan,nan,nan,nan,-2.065254974365234375e+02,2.151235809326171875e+02,4.092040100097656250e+02,nan,-7.614570922851562500e+02,1.193958816528320312e+02
nan,nan,nan,nan,nan,nan,-2.066481323242187500e+02,2.148198852539062500e+02,4.063930664062500000e+02,nan,-7.618937377929687500e+02,9.158781433105468750e+01
nan,nan,nan,nan,nan,nan,-2.066873016357421875e+02,2.148522491455078125e+02,4.048397521972656250e+02,nan,-7.365556030273437500e+02,6.820104217529296875e+01
nan,nan,nan,nan,nan,nan,-2.067264709472656250e+02,2.148846130371093750e+02,4.032864379882812500e+02,nan,-7.112175292968750000e+02,4.481426620483398438e+01
nan,nan,nan,nan,nan,nan,-2.067656402587890625e+02,2.149169769287109375e+02,4.017331542968750000e+02,nan,-6.858793945312500000e+02,2.142749404907226562e+01
nan,nan,nan,nan,nan,nan,-2.066941375732421875e+02,2.150719451904296875e+02,4.020138854980468750e+02,nan,-6.608683471679687500e+02,-9.021700859069824219e+00
nan,nan,nan,nan,nan,nan,-2.066170196533203125e+02,2.152331390380859375e+02,4.023876953125000000e+02,nan,-6.358738403320312500e+02,-3.982934570312500000e+01
nan,nan,nan,nan,nan,nan,-2.065399017333984375e+02,2.153943481445312500e+02,4.027615051269531250e+02,nan,-6.108793334960937500e+02,-7.063699340820312500e+01
nan,nan,nan,nan,nan,nan,-2.063827972412109375e+02,2.155782470703125000e+02,4.031143798828125000e+02,nan,-5.859462280273437500e+02,-9.212017059326171875e+01
nan,nan,nan,nan,nan,nan,-2.061895294189453125e+02,2.157724151611328125e+02,4.034577941894531250e+02,nan,-5.610409545898437500e+02,-1.093874511718750000e+02
nan,nan,nan,nan,nan,nan,-2.059962615966796875e+02,2.159665832519531250e+02,4.038012084960937500e+02,nan,-5.361356201171875000e+02,-1.266547317504882812e+02
nan,nan,nan,nan,nan,nan,-2.053747863769531250e+02,2.161373748779296875e+02,4.039642944335937500e+02,nan,-5.112542724609375000e+02,-1.299426269531250000e+02
nan,nan,nan,nan,nan,nan,-2.041753234863281250e+02,2.162766571044921875e+02,4.038840026855468750e+02,nan,-4.864052124023437500e+02,-1.143626327514648438e+02
nan,nan,nan,nan,nan,nan,-2.029758605957031250e+02,2.164159240722656250e+02,4.038037109375000000e+02,nan,-4.615561523437500000e+02,-9.878264617919921875e+01
nan,nan,nan,nan,nan,nan,-2.018104095458984375e+02,2.165303039550781250e+02,4.036588134765625000e+02,nan,-4.389581298828125000e+02,-8.182108306884765625e+01
nan,nan,nan,nan,nan,nan,-2.008201599121093750e+02,2.165163879394531250e+02,4.031809692382812500e+02,nan,-4.279588317871093750e+02,-5.774082183837890625e+01
nan,nan,nan,nan,nan,nan,-1.998299102783203125e+02,2.165024719238281250e+02,4.027030944824218750e+02,nan,-4.169595642089843750e+02,-3.366056442260742188e+01
nan,nan,nan,nan,nan,nan,-1.988396606445312500e+02,2.164885559082031250e+02,4.022252502441406250e+02,nan,-4.059602661132812500e+02,-9.580307960510253906e+00
nan,nan,nan,nan,nan,nan,-1.984567260742187500e+02,2.163179473876953125e+02,4.020622863769531250e+02,nan,-4.065899047851562500e+02,8.050827980041503906e+00
nan,nan,nan,nan,nan,nan,-1.981416625976562500e+02,2.161298370361328125e+02,4.019345092773437500e+02,nan,-4.085191345214843750e+02,2.496123504638671875e+01
nan,nan,nan,nan,nan,nan,-1.978265991210937500e+02,2.159417266845703125e+02,4.018067321777343750e+02,nan,-4.104483947753906250e+02,4.187164306640625000e+01
nan,nan,nan,nan,nan,nan,-1.977678222656250000e+02,2.156914367675781250e+02,4.020086669921875000e+02,nan,-4.115278320312500000e+02,6.403205871582031250e+01
nan,nan,nan,nan,nan,nan,-1.978554534912109375e+02,2.154056396484375000e+02,4.023989562988281250e+02,nan,-4.121217956542968750e+02,8.919171142578125000e+01
nan,nan,nan,nan,nan,nan,-1.979430694580078125e+02,2.151198272705078125e+02,4.027892456054687500e+02,nan,-4.127157897949218750e+02,1.143513641357421875e+02
nan,nan,nan,nan,nan,nan,-1.981669464111328125e+02,2.148860778808593750e+02,4.030846252441406250e+02,nan,-4.130447387695312500e+02,1.331177062988281250e+02
nan,nan,nan,nan,nan,nan,-1.986194610595703125e+02,2.147397003173828125e+02,4.032207336425781250e+02,nan,-4.129289245605468750e+02,1.411540374755859375e+02
nan,nan,nan,nan,nan,nan,-1.990719909667968750e+02,2.145933380126953125e+02,4.033568115234375000e+02,nan,-4.128131103515625000e+02,1.491903686523437500e+02
nan,nan,nan,nan,nan,nan,-1.995538787841796875e+02,2.144872283935546875e+02,4.034363403320312500e+02,nan,-4.126829223632812500e+02,1.562868041992187500e+02
nan,nan,nan,nan,nan,nan,-2.002726287841796875e+02,2.147058868408203125e+02,4.030596618652343750e+02,nan,-4.124370422363281250e+02,1.558029022216796875e+02
nan,nan,nan,nan,nan,nan,-2.009913635253906250e+02,2.149245300292968750e+02,4.026829833984375000e+02,nan,-4.121911621093750000e+02,1.553190155029296875e+02
nan,nan,nan,nan,nan,nan,-2.017100982666015625e+02,2.151431884765625000e+02,4.023063049316406250e+02,nan,-4.119452819824218750e+02,1.548351287841796875e+02
nan,nan,nan,nan,nan,nan,-2.017615814208984375e+02,2.164820098876953125e+02,4.017830505371093750e+02,nan,-4.119686889648437500e+02,1.544575653076171875e+02
nan,nan,nan,nan,nan,nan,-2.016927795410156250e+02,2.180227813720703125e+02,4.012333679199218750e+02,nan,-4.120406799316406250e+02,1.540991821289062500e+02
nan,nan,nan,nan,nan,nan,-2.016239776611328125e+02,2.195635528564453125e+02,4.006836853027343750e+02,nan,-4.121126403808593750e+02,1.537407836914062500e+02
nan,nan,nan,nan,nan,nan,-2.014547271728515625e+02,2.220183868408203125e+02,4.003110351562500000e+02,nan,-4.123558349609375000e+02,1.536219787597656250e+02
nan,nan,nan,nan,nan,nan,-2.012139892578125000e+02,2.251237945556640625e+02,4.000643920898437500e+02,nan,-4.127208862304687500e+02,1.536737060546875000e+02
nan,nan,nan,nan,nan,nan,-2.009732360839843750e+02,2.282292175292968750e+02,3.998177490234375000e+02,nan,-4.130859375000000000e+02,1.537254180908203125e+02
nan,nan,nan,nan,nan,nan,-2.007479400634765625e+02,2.306681365966796875e+02,3.997786254882812500e+02,5.876586914062500000e+02,-4.137351684570312500e+02,1.537464447021484375e+02
nan,nan,nan,nan,nan,nan,-2.005552978515625000e+02,2.316982421875000000e+02,4.001781616210937500e+02,5.875177612304687500e+02,-4.149851379394531250e+02,1.537025909423828125e+02
nan,nan,nan,nan,nan,nan,-2.003626403808593750e+02,2.327283325195312500e+02,4.005776977539062500e+02,5.873768310546875000e+02,-4.162351074218750000e+02,1.536587371826171875e+02
