I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-5.482461166381835938e+01,7.688302612304687500e+01,4.146120071411132812e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.226065826416015625e+01,6.543064117431640625e+01,-1.158574485778808594e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.948733901977539062e+01,5.166711807250976562e+01,-2.541703987121582031e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.646696090698242188e+01,3.517622756958007812e+01,-3.700548553466796875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.344657897949218750e+01,1.868533706665039062e+01,-4.859393310546875000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.042620086669921875e+01,2.194445133209228516e+00,-6.018237686157226562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.740581893920898438e+01,-1.429644584655761719e+01,-7.177082061767578125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.451208877563476562e+01,-3.044328689575195312e+01,-8.327681732177734375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.655764389038085938e+01,-3.317220306396484375e+01,-9.156726837158203125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.860320281982421875e+01,-3.590111923217773438e+01,-9.985771942138671875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.064876174926757812e+01,-3.863003158569335938e+01,-1.081481704711914062e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.269431686401367188e+01,-4.135894775390625000e+01,-1.164386215209960938e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.473987579345703125e+01,-4.408786392211914062e+01,-1.247290725708007812e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.882826614379882812e+01,-4.399483489990234375e+01,-1.292566070556640625e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.432861709594726562e+01,-4.195134735107421875e+01,-1.311832885742187500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.982896804809570312e+01,-3.990785980224609375e+01,-1.331099700927734375e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.532932281494140625e+01,-3.786437225341796875e+01,-1.350366668701171875e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.082967376708984375e+01,-3.582088470458984375e+01,-1.369633483886718750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.597933197021484375e+01,-3.355336761474609375e+01,-1.381366577148437500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.925460052490234375e+01,-3.008845329284667969e+01,-1.352832794189453125e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-8.252986907958984375e+01,-2.662353897094726562e+01,-1.324298858642578125e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-8.580513763427734375e+01,-2.315862464904785156e+01,-1.295765075683593750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-8.908041381835937500e+01,-1.969371032714843750e+01,-1.267231140136718750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-9.235568237304687500e+01,-1.622879600524902344e+01,-1.238697280883789062e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-9.087631988525390625e+01,-1.488374614715576172e+01,-1.217147598266601562e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-8.758362579345703125e+01,-1.434717464447021484e+01,-1.198261413574218750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-8.429093170166015625e+01,-1.381060314178466797e+01,-1.179375305175781250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-8.099823760986328125e+01,-1.327403163909912109e+01,-1.160489196777343750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.770554351806640625e+01,-1.273745918273925781e+01,-1.141603088378906250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.377766418457031250e+01,-1.377383804321289062e+01,-1.128284530639648438e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.829631805419921875e+01,-1.865716743469238281e+01,-1.128582534790039062e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.281496810913085938e+01,-2.354049873352050781e+01,-1.128880538940429688e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.733362197875976562e+01,-2.842382812500000000e+01,-1.129178543090820312e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.185227584838867188e+01,-3.330715942382812500e+01,-1.129476547241210938e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.637092590332031250e+01,-3.819048690795898438e+01,-1.129774551391601562e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.547341156005859375e+01,-3.909096145629882812e+01,-1.124476318359375000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.534374618530273438e+01,-3.932425308227539062e+01,-1.118240661621093750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.521408081054687500e+01,-3.955754470825195312e+01,-1.112005004882812500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.508441925048828125e+01,-3.979083633422851562e+01,-1.105769348144531250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.495475387573242188e+01,-4.002412796020507812e+01,-1.099533691406250000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.400804519653320312e+01,-3.985006332397460938e+01,-1.088631286621093750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.194604492187500000e+01,-3.911993026733398438e+01,-1.071358642578125000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.988404083251953125e+01,-3.838980102539062500e+01,-1.054085998535156250e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.782204055786132812e+01,-3.765967178344726562e+01,-1.036813354492187500e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.576004028320312500e+01,-3.692954254150390625e+01,-1.019540710449218750e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.369803619384765625e+01,-3.619941329956054688e+01,-1.002268066406250000e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.228394317626953125e+01,-3.636313247680664062e+01,-9.802805328369140625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.087696456909179688e+01,-3.653667068481445312e+01,-9.582411956787109375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.946998786926269531e+01,-3.671020889282226562e+01,-9.362018585205078125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.806301116943359375e+01,-3.688374710083007812e+01,-9.141624450683593750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.665603446960449219e+01,-3.705728912353515625e+01,-8.921231079101562500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.557971382141113281e+01,-3.726761245727539062e+01,-8.739268493652343750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.476804542541503906e+01,-3.750737380981445312e+01,-8.588065338134765625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.395637702941894531e+01,-3.774713897705078125e+01,-8.436862182617187500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.314470672607421875e+01,-3.798690414428710938e+01,-8.285659027099609375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.233303833007812500e+01,-3.822666931152343750e+01,-8.134455871582031250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.140438270568847656e+01,-3.842738723754882812e+01,-7.981396484375000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.963173866271972656e+01,-3.834641265869140625e+01,-7.814946746826171875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.785909461975097656e+01,-3.826543426513671875e+01,-7.648496246337890625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.608645248413085938e+01,-3.818445968627929688e+01,-7.482046508789062500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.431380844116210938e+01,-3.810348510742187500e+01,-7.315596008300781250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.254116535186767578e+01,-3.802251052856445312e+01,-7.149145507812500000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
